chr1	47534328	51534328	hild1
chr2	85772877	99883538	hild2
chr2	133742429	137242430	hild3_LCT
chr2	182135273	189135274	hild4
chr3	47458510	49962567	hild5
chr3	83450849	86950850	hild6
chr3	88950850	97781156	hild7
chr5	44499898	51204166	hild8
chr5	98664296	101164296	hild9
chr5	129664307	132664308	hild10
chr5	136164311	139164311	hild11
chr6	24999772	35032223	hild12_MHC
chr6	57135202	63290095	hild13
chr6	139678863	142178863	hild14
chr7	54932307	66535013	hild15
chr8	7142478	13142491	hild16_inv8p23
chr8	43144857	49087441	hild17
chr8	110987771	113987771	hild18
chr10	36711072	42504552	hild19
chr11	45978449	57232526	hild20
chr11	87789108	90766832	hild21
chr12	32847066	39606198	hild22
chr12	109062195	111562196	hild23
chr20	33412194	35912078	hild24
